
+---------------------------+--------+--------+-----------------+----------------------+------------+---------------+
| account HRNS              | exists | active | currency HRNS   | owner HRNS           |    balance | error message |
| nho.ga.dmr.de             | yes    | yes    | swl.uk          | isn.uk               |       0.00 |               |
| bfv.ssk.global            | yes    | yes    | yz.global       | rg.uk                |     657.46 |               |
| dq.ycc.cd.due.global      | yes    | yes    | nwb.dmr.de      | kt.ne.us             |       0.00 |               |
| ch.de                     | yes    | yes    | ga.es           | alg.iii.global       |       0.00 |               |
| yn.og.es                  | yes    | yes    | yz.global       | pw.us                |    -327.67 |               |
| yi.yib.ca                 | yes    | yes    | gj.due.global   | nur.vd.dmr.de        |       0.00 |               |
| om.cd.due.global          | yes    | yes    | elz.es          | yf.ca                |       0.00 |               |
| zv.elo.uk                 | yes    | yes    | mp.es           | bcd.dmr.de           |   -2099.59 |               |
| mv.ca                     | yes    | yes    | dz.fr           | isn.uk               |       0.00 |               |
| lot.fkb.us                | yes    | yes    | fhr.due.global  | pup.zz.xxc.us        |       0.00 |               |
| dyi.ssk.global            | yes    | yes    | dnj.og.es       | nur.vd.dmr.de        |       0.00 |               |
| oom.es                    | yes    | yes    | hours.global    | xx.xxc.us            |       0.00 |               |
| xrc.len.iii.global        | yes    | yes    | elz.es          | nkp.zz.xxc.us        |       0.00 |               |
| txv.lc.ca                 | yes    | yes    | yz.global       | bcd.dmr.de           |    -584.68 |               |
| fj.cw.og.es               | yes    | yes    | bu.de           | wbw.uk               |       0.00 |               |
| hn.elo.uk                 | yes    | yes    | gum.uk          | oi.de                |       0.00 |               |
| biv.ycc.cd.due.global     | yes    | yes    | cx.us           | xze.zz.xxc.us        |       0.00 |               |
| zgo.dq.lt.es              | yes    | yes    | au.xxc.us       | lpq.de               |       0.00 |               |
| fes.brn.ycc.cd.due.global | yes    | yes    | au.xxc.us       | zn.cz.zz.xxc.us      |       0.00 |               |
| pr.scl.iii.global         | yes    | yes    | ks.ca           | wj.fr                |       0.00 |               |
| tab.elo.uk                | yes    | yes    | nwb.dmr.de      | pw.us                |       0.00 |               |
| qj.zz.xxc.us              | yes    | yes    | cf.zz.xxc.us    | lj.zz.xxc.us         |    1289.07 |               |
| pia.zm.de                 | yes    | yes    | ga.es           | isn.uk               |       0.00 |               |
| frt.ai.bip.xxc.us         | yes    | yes    | ug.lt.es        | sr.zz.xxc.us         |       0.00 |               |
| fe.ai.bip.xxc.us          | yes    | yes    | xe.global       | gzt.us               |       0.00 |               |
| ap.jao.czp.global         | yes    | yes    | ug.lt.es        | omd.ssk.global       |       0.00 |               |
| jq.xxc.us                 | yes    | yes    | nwb.dmr.de      | nkp.zz.xxc.us        |       0.00 |               |
| vwe.yib.ca                | yes    | yes    | cop.ga.dmr.de   | hv.zm.de             |       0.00 |               |
| qqb.yp.cz.zz.xxc.us       | yes    | yes    | cf.zz.xxc.us    | rg.uk                |   -3621.12 |               |
| wzj.vqy.dmr.de            | yes    | yes    | dnj.og.es       | isn.uk               |       0.00 |               |
| bp.lt.es                  | yes    | yes    | jgs.lt.es       | kt.ne.us             |       0.00 |               |
| rl.lt.es                  | yes    | yes    | mp.es           | qqf.xxc.us           |   -3288.20 |               |
| ym.zz.xxc.us              | yes    | yes    | xe.global       | po.ne.us             |       0.00 |               |
| edd.cz.zz.xxc.us          | yes    | yes    | dnj.og.es       | nkp.zz.xxc.us        |       0.00 |               |
| lft.ne.us                 | yes    | yes    | cop.ga.dmr.de   | yf.ca                |       0.00 |               |
| grc.vu.cd.due.global      | yes    | yes    | bu.de           | zbx.ca               |       0.00 |               |
+---------------------------+--------+--------+-----------------+----------------------+------------+---------------+

