
+----------------------------------+---------------------------+-------------+---------------+
| FPH                              | HRNS                      | entity type | error message |
| eb4acd849e933dac765b61d613a66943 | dv.fr                     | account     |               |
| ae8940d9e65b812e08eaba5d6dcb37f7 | adc.hkl.global            | primid      |               |
| 0957537df1202431df07986bab4dd592 | xz.us                     | account     |               |
| 2d64a12f7e207583a6a56633d4e000b4 | pov.es                    | namespace   |               |
| 7a6770f8945284622a954a8ae4dccc5e | kw.io.gn.de               | currency    |               |
| 585523d9134e4cd5b24d07066422aa05 | un.pov.es                 | primid      |               |
| 176206d550b5e66a8eaae521bf943eab | zsn.fr                    | namespace   |               |
| 70bc4f13542bb5e9dc1aaca6fdabbcf0 | xc.zsn.fr                 | secid       |               |
| 8767f37be1e5414d80d18e3cca99dd32 | zu.ykp.vxj.fr             | currency    |               |
| a198e50881a8e069bc0ea8deb30fb4b6 | pyf.hkl.global            | namespace   |               |
| 0c25a35baa509b8f4c8734e89890ca57 | ad.de                     | currency    |               |
| 36ba1915b139147a74459ad8e59ea1d7 | fb.pov.es                 | secid       |               |
| 14d92455fe221aafc3dcf47e7f2541a2 | ebv.gn.de                 | primid      |               |
| 8c88cb6ac15aa28d6fa1649234aab67c | jhs.uk                    | account     |               |
| 5f6d8057ef32a357f91dd47c7110c92f | mm.es                     | primid      |               |
| a4ac284ce6b4314a12cdb5bffe3c4e9b | nci.fjq.de                | namespace   |               |
| c8c5fc6d6a6078cadb8dd6c2df815716 | dcu.io.gn.de              | account     |               |
| 875f68ba5dae96c5ec1f2dbd8c068e60 | wmo.ycx.io.gn.de          | account     |               |
| f0770659ebc4718cf4202b98fa239f90 | ojv.pov.es                | primid      |               |
| 74671ecf9eca97d7fc2cc346c82423e8 | df.nci.fjq.de             | currency    |               |
| 544e4e9106f57808f93f72cc315ec399 | uk.hkl.global             | secid       |               |
| d7ea4cf6d2c8d863c2507c56866aac95 | ksc.pyf.hkl.global        | namespace   |               |
| e9bf859062284e86387e641c968c64c9 | vn.rpc.global             | primid      |               |
| a0b9d3622f933962f0c8ce4256e2097e | yh.vxj.fr                 | primid      |               |
| 2c0661eacebff212a4efafc03eeb37fb | ph.io.gn.de               | account     |               |
| ec25d85a0cc07d731bda84b176dde4ab | na.vbx.rpc.global         | account     |               |
| 6f1a09387eee03024355d050c46e3402 | tmw.pyf.hkl.global        | namespace   |               |
| 461df8f808a3978e42b007fab049d009 | swc.global                | primid      |               |
| 28049e44a1e3ec3ab0a3e614f9096f3a | jid.ksc.pyf.hkl.global    | namespace   |               |
| bd9f29ab9eb117f65c962b04544e47a6 | ol.vbx.rpc.global         | primid      |               |
| 2625dab8c13fd5c5d4bf6e4c0b9880b3 | nv.nci.fjq.de             | secid       |               |
| b29a86a466c5e97749a71ac7e3376c55 | sj.pyf.hkl.global         | currency    |               |
| 63b88f1abc091eb7fb57b200e27560e2 | vx.yex.global             | namespace   |               |
| 8c36f5a50a9266654c372ae50147e36b | bmu.hkl.global            | secid       |               |
| e03714e3bb9b0d3d6f6062e6545454ca | fzy.isv.es                | primid      |               |
| b89c59c77c69e8a804bffad5169bbbea | lwc.global                | currency    |               |
| f277529b18f529215ef0ee9848a44ed3 | uz.gar.global             | primid      |               |
| 0a2e46a1c54e4c957b038a1fe96d7491 | jyv.ykp.vxj.fr            | primid      |               |
| 6dc50b9a78e7a0d1709263bcb1f83c33 | sk.gar.global             | account     |               |
| b224195973651b81ac2629810c7bde53 | njt.us                    | namespace   |               |
| 36ab550499997c61bff427160288e048 | za.ycx.io.gn.de           | primid      |               |
| c82554b12776d3c00b8d78ba0affe5ce | vur.vbx.rpc.global        | primid      |               |
| a0b6379f42a625991bd4b736b5d2f4f9 | mbs.ycx.io.gn.de          | account     |               |
| 7558a4529820b6d3bd4fe1c2728e483b | yr.vxj.fr                 | secid       |               |
| b00e4eebd7972ff14328dae8d003e2a6 | me.njt.us                 | namespace   |               |
| 7763cc645b6c7f2fa69bd763904ef2fc | qcd.nr.gar.global         | primid      |               |
| 35e2c2e731c237217f7df67a15760846 | eco.pov.es                | secid       |               |
| b514289f23220fb6259ff8a18ba58486 | zfl.ycx.io.gn.de          | primid      |               |
| 3246bfcfbff773c531439af19345e6d5 | tb.ykp.vxj.fr             | primid      |               |
| 25edf2882b34b750156211df2f0a2267 | yys.ksc.pyf.hkl.global    | secid       |               |
| a643f5f2095c081d885af27cfd1f2ad5 | wy.gar.global             | namespace   |               |
| fa341ffd19de7d2b7e2e5d9e74bd32ae | kxz.ksc.pyf.hkl.global    | account     |               |
| 66706cfbe56ac77df1a4138e74c08fdc | ev.gq.rpc.global          | namespace   |               |
| 9fa09dc1b95c75c7c0362e8cbd9ef81c | exa.nci.fjq.de            | account     |               |
| 12dc3c0b57852335db493724d97ac70f | hkc.es                    | secid       |               |
| 929bcf6f6baed463480fa0291566d5f1 | oef.ev.gq.rpc.global      | currency    |               |
| 8cecfb24b51451fb099971a8e957d021 | nrd.rpc.global            | account     |               |
| e7034776db7bf88941aca0634b577034 | qzu.gar.global            | account     |               |
| 3102eec70e1fa3e507eaa6f704a6151d | him.ca                    | namespace   |               |
| 4ed5961e870805a9df709839be89d93b | mo.pov.es                 | primid      |               |
| f68f3defbd21eaa6f0782ca2d407c71a | lg.me.njt.us              | secid       |               |
| 3b8ac7add4552dc63c9b57d6b1498a2e | zdx.pov.es                | secid       |               |
| 425dda689b140544a28f89919d8cfd97 | unf.io.gn.de              | namespace   |               |
| d50eb3d7e5ba0f1b82cf8b58e6433b8e | lv.ycx.io.gn.de           | currency    |               |
| f3d352b43818daa1b6c2b87d602294fe | zj.es                     | secid       |               |
| be183f012e4ed836cb3efede85f080f0 | kwa.ev.gq.rpc.global      | primid      |               |
| ded0167815edf266e9c9fae3ab50c769 | sog.fjq.de                | namespace   |               |
| d3cdf89767ff43f5866239a3b4a707be | fvr.fjq.de                | namespace   |               |
| a004b45cc94958f532479a97878f2698 | ft.ykp.vxj.fr             | secid       |               |
| 0f28764178b0c9b70961f53e48f3dce1 | nx.uk                     | namespace   |               |
| 65f08a708163c3d571322d74f1f6515e | rb.gq.rpc.global          | namespace   |               |
| 5b1fc27c63fa5d655466542c18fa7aba | mr.ykp.vxj.fr             | secid       |               |
| 204d632c4aa0870ada151185dae86841 | dqi.fr                    | account     |               |
| f7c7ffa771676e4207ee0e684aa1a24a | zt.rb.gq.rpc.global       | secid       |               |
| 0b38a777cef827f253ebc2a545a08a2a | dan.hkl.global            | currency    |               |
| f27f5bfb4cf47ea80af3faf26095480a | tbj.us                    | account     |               |
| 78e99afa9de2419af9c94da271769ff5 | pg.me.njt.us              | namespace   |               |
| ea300423f0bc7b089978aa4df2a679c6 | ok.me.njt.us              | currency    |               |
| 1bb7dc022156e683768904e362251332 | nj.gq.rpc.global          | currency    |               |
| d1f85cb67fcf00c4c78ea20bf48502e0 | aga.isv.es                | secid       |               |
| 3b421a7491bf0942eb1072df9c69ea5f | nc.rb.gq.rpc.global       | account     |               |
| 60b99312d609e307955721d91ac4c926 | xs.hkl.global             | namespace   |               |
| 492e2c7ac18b3886798da2164e13074d | bz.de                     | primid      |               |
| 3c665cde81dca010846a69aa0b750842 | kb.ev.gq.rpc.global       | currency    |               |
| 51cda1f04ec5c2a461fc8bbd04b400f9 | mf.gn.de                  | account     |               |
| a909fa49e2c5ea4b9311c2594e91f7a7 | ad.wy.gar.global          | currency    |               |
| b101e2a4fc249566c26333c51f55de2a | hca.pov.es                | currency    |               |
| 10d8056e4bd486fe9006e7e392fb5fb3 | flc.njt.us                | secid       |               |
| a02d84e3fc39ea93dafd57deaaaadd98 | td.vx.yex.global          | secid       |               |
| a8b4f1e02776220106a4d29d86a371df | rbk.ksc.pyf.hkl.global    | secid       |               |
| 0f06789bc8d2ae9613ebc339c89be494 | xo.wy.gar.global          | currency    |               |
| 5367a49890ddd389c2d95e6cc2f54d60 | zdq.tmw.pyf.hkl.global    | account     |               |
| da71510575402b394ae4ec0297e9e357 | zt.gq.rpc.global          | primid      |               |
| 8ef40a50640229a9e7ca4747f9c74a06 | brk.hkl.global            | namespace   |               |
| 3b7fb686daec555c5fecadc649d3a82c | yd.vbx.rpc.global         | currency    |               |
| b7a39a67c261b0e8448aafe640718f74 | tg.fjq.de                 | secid       |               |
| b1da93e235ad525c2bd950f8e4c3c3fa | bkd.global                | secid       |               |
| b53f837000bc31e214e767e641efb496 | zxg.fr                    | secid       |               |
| e1f75addc22ab4c44b9160a6aeb9b251 | dsg.ycx.io.gn.de          | primid      |               |
| 99b00d9882468ad98d0cdfcc532ad464 | sy.him.ca                 | account     |               |
| c6f866bf6ecb190f720570baeb87e80c | eik.nci.fjq.de            | account     |               |
| 974e3a7ce6a1148fceaa097405fcf570 | ni.sog.fjq.de             | currency    |               |
| 4229e646d3fe74565c8a2a62d001aca8 | pt.global                 | account     |               |
| 481c3bc69780d9f83884e2aba0dc5e67 | hrx.vbx.rpc.global        | account     |               |
| 65e7cf4f98dee025b036d4dd950ade11 | kpi.him.ca                | namespace   |               |
| 6ec597bd961d77b037f1df57382c988f | cc.rpc.global             | account     |               |
| 42d25fe0400120ecef7be2e0f5871d17 | oox.rpc.global            | secid       |               |
| 9c518523e332cdc5e569ea4f88bba4f7 | xe.unf.io.gn.de           | currency    |               |
| a829b99d680d838f4100feb064f0e129 | ce.zsn.fr                 | primid      |               |
| a449670a1b0c39f606b917018187ac33 | mq.fjq.de                 | secid       |               |
| 2e8299bfd1e4f961970cddf42e9ba04f | hz.njt.us                 | namespace   |               |
| 7471312089ce406132d4c062b9f52a78 | vnj.nci.fjq.de            | account     |               |
| 319ec3ff133fcec3d3cd690079adbd19 | wcr.io.gn.de              | primid      |               |
| c5a0cd7d72ac971325f6d7a203e8c1a9 | ru.hkl.global             | account     |               |
| ca92ba2c5a2ba6e331d874e9ac62cee0 | fwi.nr.gar.global         | primid      |               |
| f9f39e2e678f3e3f5c24c1dad225deda | uz.vxj.fr                 | primid      |               |
| 817e6d45a5822dd018adaf3841141813 | rmr.ycx.io.gn.de          | namespace   |               |
| be98c4de3cc80190c85dbc2556657a19 | las.vxj.fr                | secid       |               |
| d86dad7f8df5fcac6e16d2f40ea3a7c3 | to.vbx.rpc.global         | secid       |               |
| 675304540f641a13d14ecac2f0920ed1 | ade.nr.gar.global         | currency    |               |
| 57f1c8a4a90c2fe2509e313a1e019856 | ka.vx.yex.global          | primid      |               |
| fbba31fe8d7399fbaac33b43fcd41607 | tug.rmr.ycx.io.gn.de      | account     |               |
| 3874f5da4371d37e0d52d61b9485370a | wc.sog.fjq.de             | primid      |               |
| 1cc17964ee714eb9f485ceef960bfe46 | xg.rb.gq.rpc.global       | secid       |               |
| 142bfb6130266aa6a87deac2c50d0a34 | xqx.ev.gq.rpc.global      | currency    |               |
| 6efbcbd705b2933b7d5b596c2c68d876 | jbd.sog.fjq.de            | namespace   |               |
| 73b699015f21c5b011198a69004f5fe0 | fr.nx.uk                  | account     |               |
| 4a636c921c292c9c7e539cea74cfd450 | rhm.nx.uk                 | account     |               |
| d4adc0dfbca044bb79a2cc4b4755c8d6 | so.us                     | account     |               |
| d204e563725ae1e288609cbabe5df533 | igk.wy.gar.global         | account     |               |
| c3b9140f984bb291fdf12b444a812671 | yw.es                     | account     |               |
| 431f0f201d8d6ff360e89de8219d6bca | mx.ycx.io.gn.de           | account     |               |
| 7c1370f2d387fd0b79d26f35fe7ef033 | ift.isv.es                | account     |               |
| 80a5beb26dd00f6e7daddaca069911b9 | fz.zsn.fr                 | account     |               |
| ff75761c3620b1c66c7afe6c11b07489 | kzq.ksc.pyf.hkl.global    | account     |               |
| 3fcdab3b28d2e32425a3d547dad0e980 | gvm.hz.njt.us             | account     |               |
| 17028606bd5394f54fc9a4dac82e917a | pxy.rmr.ycx.io.gn.de      | account     |               |
| 925f2a900ebb2d987ea04bf13973b6cf | adl.pyf.hkl.global        | account     |               |
| 4bb2e8f828bd225ab787628fc5d2d8c3 | vo.me.njt.us              | account     |               |
| cda6e79309f30f32e43d9d8f61019fd1 | ez.ycx.io.gn.de           | account     |               |
| eee11674f6544ead547a2635e164f988 | uoj.uk                    | account     |               |
| 789cde7e92b9e9382e308864f0ef82d5 | bas.io.gn.de              | account     |               |
| a61ff6c604c2076cb75ba57d866c32a6 | tpj.vxj.fr                | account     |               |
| b4e722affc75f3204b64dd29e48f2c1c | ml.vx.yex.global          | account     |               |
| 70abcbed03f05943b9a5bb1e5e3ede1f | awz.pg.me.njt.us          | account     |               |
| ba94f36288cedff3bb7c943133a8c611 | mdj.me.njt.us             | account     |               |
| 3ea8ad67d8afc2d99b643ec7acf39c77 | iqo.nx.uk                 | account     |               |
| 091e0f0eb35ca5dbe982f103f67d454c | fzp.hz.njt.us             | account     |               |
| 8fde085cfa1a98850c50919def365b6f | mdn.fjq.de                | account     |               |
| 1f89624e09c03021bed6f8cc2b48b01d | bwo.wy.gar.global         | account     |               |
| 170c6ae86c80eaaa8ff858f24bba3a61 | yrp.kpi.him.ca            | account     |               |
| 52b21ef390de72474d159f0a39bbaea2 | gql.ca                    | account     |               |
| 56de96b8b0e27b2bd0fe5dcacc7f7015 | nm.him.ca                 | account     |               |
| da810ac656a08336b2ce40c8a006b73f | kok.uk                    | account     |               |
| 1a292f499b29e5f52d7279c924a7e6c9 | zux.pyf.hkl.global        | account     |               |
| 9edd827817b08968ce4e6138a7681274 | wtj.wv.yex.global         | account     |               |
| 1a98cae5b2e0efa7fe16b93b3cac6c51 | nca.vxj.fr                | account     |               |
| fce19b9259095acc27a58a99ace7c581 | dmy.rpc.global            | account     |               |
| 17d250e69f4a1200d31a461dc08c1f4f | xu.us                     | account     |               |
| 3386b7603ab5069e3283942441ad3d52 | zl.fr                     | account     |               |
| ff77794be9da8ca61035aea777e804b6 | fv.jid.ksc.pyf.hkl.global | account     |               |
| a51321cff718f35bebb7b86b4aeb5e51 | co.jid.ksc.pyf.hkl.global | account     |               |
| 8d9d6127a4fb39019445c8c5e6b68ecd | mcg.fvr.fjq.de            | account     |               |
| 2548035150d2bf63b473523d07bb6104 | su.vx.yex.global          | account     |               |
| 33b01dc1d755ee7e56cc3ffd4da9e6f3 | chw.isv.es                | account     |               |
| b9579d7c0dc2a4437720bd631c7fcb62 | fsh.fjq.de                | account     |               |
| afd3fc21c523b22593d8ced4e5c69fc5 | rr.ykp.vxj.fr             | account     |               |
| 1a4e55b778328f6c923f6b82937a6c00 | ef.jid.ksc.pyf.hkl.global | account     |               |
| 1058e9813f0bef0bd2f7e94b6a010b8b | cqk.ksc.pyf.hkl.global    | account     |               |
| 185754a6ea42e74266a9c4b0853e8d75 | wrv.xs.hkl.global         | account     |               |
| 6ecff20a6914918f4b20d21caa48caa3 | ir.fvr.fjq.de             | account     |               |
| e99377d7e9a6d4ec434d054a598387b5 | zaz.nr.gar.global         | account     |               |
| 511a007a0de2bb7e8285609301a1548a | yv.ca                     | account     |               |
| 1e0890957f328a879c50ec227850249f | osm.brk.hkl.global        | account     |               |
| 8c02bb9765563d99615e1feeecb5123c | zkm.pg.me.njt.us          | account     |               |
| 758cca7461f5f3c9d00b21c923a5b6fc | mb.jid.ksc.pyf.hkl.global | account     |               |
| c55e0ce5fda694a7f7503ae3aabf6919 | hvo.nx.uk                 | account     |               |
| 48c96351ee72a43e7e16c84c89e1b5fb | yq.fjq.de                 | account     |               |
| 571f5bf770fba36ba83392ae0c72ff61 | vfs.hz.njt.us             | account     |               |
| 4b6510ea61a078b61c366a1b8ff7e684 | xlx.ev.gq.rpc.global      | account     |               |
| 89acbf471388e73fd268f05abefa9196 | ui.pov.es                 | account     |               |
| 7aa521bb977792cd3e4da60119e9e36e | iwj.ycx.io.gn.de          | account     |               |
| 0b94f06596d8c63246019adc54642461 | ej.pov.es                 | account     |               |
| f9fe40de1d096f8311779c8346c04c1f | sdl.yex.global            | account     |               |
| 82cbb33a2ad188e86ba2d1babb47618e | ue.brk.hkl.global         | account     |               |
| 6072299d090dbe6685bc89b7ddd11e3e | ukp.ev.gq.rpc.global      | account     |               |
| e6662abee69cb5753e620f36f6914dc4 | kn.ykp.vxj.fr             | account     |               |
| 26483d15f066abd82e8def18931903b2 | bi.wy.gar.global          | account     |               |
| be8bd9d5ddcd6b56fccfb4caee5822fa | dh.jbd.sog.fjq.de         | account     |               |
| 7f52216fc98cb7f651f8e761011d26d5 | um.pg.me.njt.us           | account     |               |
| 3d051eed15c77bf1cecad92332fa6da2 | uv.sog.fjq.de             | account     |               |
| 460f0bc980960da878454ce2a96b2ef9 | oiy.vbx.rpc.global        | account     |               |
| 9d7afe2ed48be77b4690b24de6b800a0 | zay.xs.hkl.global         | account     |               |
| c033658baeaf682200af10544ea5b63a | upg.isv.es                | account     |               |
| 3c5861d72d6afc62a3483daa6ecd97c6 | yzf.uk                    | account     |               |
| a94a629082b96eacc073761d9edc2067 | tjd.isv.es                | account     |               |
| c2090c5410bf50ae0d40e027ea328fab | xzp.nx.uk                 | account     |               |
| 3ffa052a702af09693389a5689673113 | jbh.him.ca                | account     |               |
| 0ee430e54b918a477cd1c9d9fe72091c | ojw.wv.yex.global         | account     |               |
| e697595235395c0fc6e586e6ab9d4bb6 | yb.jid.ksc.pyf.hkl.global | account     |               |
| 4e56295cedc448707a9f1c503f623cad | vl.rb.gq.rpc.global       | account     |               |
| adc427f22f4bf1a0f5c4c2f17aa22e12 | hf.ca                     | account     |               |
| eccf175450821559392cf70c62d5a997 | uj.jid.ksc.pyf.hkl.global | account     |               |
| 65be26c237aa0ca784905f11d4767728 | re.pyf.hkl.global         | account     |               |
| 702a496cfe1ee095f00b19f7ac77b325 | vkk.njt.us                | account     |               |
| f42be027d89dda1d30a58eb7098ae93c | aq.isv.es                 | account     |               |
| c7cddd0b8bfd56d526274f8a891614e8 | lel.de                    | account     |               |
| 0370cfdb5e5bdda3164a8529c28ec38b | az.rpc.global             | account     |               |
| 2af921aefbe6f736ebe6bb664fb1e256 | qp.io.gn.de               | account     |               |
| 281374e212a85b67f60ec9b08d85e8fa | yuh.ca                    | account     |               |
| d96f384e18664a7eeffdc5da0f24b835 | syc.ykp.vxj.fr            | account     |               |
| a0fc1d05bbd9163cad919dee592947ec | lji.ca                    | account     |               |
| 14dfb81e10a35208b6c6dc362bec3c36 | vnc.hz.njt.us             | account     |               |
| fc37648dbaa707db9e63bd55143de2a3 | ec.uk                     | account     |               |
| 73ef2c6d21ebeb073ac03b0b2573503d | set.pg.me.njt.us          | account     |               |
| c1786875ee1973cdf81ee8fc0e40ff6d | lh.pg.me.njt.us           | account     |               |
| c34541702f221095b7c21a6571e50325 | qts.vbx.rpc.global        | account     |               |
| 88012ed216c4f1fd3a25269b9feb6eae | vkw.rmr.ycx.io.gn.de      | account     |               |
| 4385a61fb914a3f3c02e185bbcfdcaf1 | lgj.yex.global            | account     |               |
| d0ed86d50b2156f159a040dc09943af5 | trh.vbx.rpc.global        | account     |               |
| f37dbe648ed6c4641a4c78284d267931 | zxp.jbd.sog.fjq.de        | account     |               |
| cc02ba30cd7940de1185a2d7f920b2ce | uh.de                     | account     |               |
| 6b450b4bf8bf364d0e18a6d71c055b5a | sd.nx.uk                  | account     |               |
| 87d993b8f7fa0d9205c915713c5a6d54 | yz.ycx.io.gn.de           | account     |               |
| 93f4622b7a4b11fe6ad7432ca563430b | rn.fr                     | account     |               |
| 8710118dcdee386ae796acb8cf64a982 | wh.wv.yex.global          | account     |               |
+----------------------------------+---------------------------+-------------+---------------+

